Feature	domain	phylum	class	order	family	genus	species	ASV
1a8fade2ebbbd56d97f10c6f5b8feab1	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	Unassigned_Anaerococcus	1a8fade2ebbbd56d97f10c6f5b8feab1
824169a17699e9877d938200da6efce3	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	Unassigned_Anaerococcus	824169a17699e9877d938200da6efce3
90a59b5ba1eeeb336e81a34f1a490d34	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Unassigned_Weissella	90a59b5ba1eeeb336e81a34f1a490d34
ecea3ddf62555cd29ebf12c2a3a319c2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes	Unassigned_Atopostipes	ecea3ddf62555cd29ebf12c2a3a319c2
1f4883d8528d3c2e510f544524eb3a5f	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unassigned_Phenylobacterium	1f4883d8528d3c2e510f544524eb3a5f
f102ab908a7074034acc483ed4720512	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	Unassigned_Candidatus_Udaeobacter	f102ab908a7074034acc483ed4720512
46266f69da33703df110005acd3c5b66	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Unassigned_Cellvibrio	46266f69da33703df110005acd3c5b66
a2010522d10c08a5063b835582808d35	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Unassigned_Cupriavidus	a2010522d10c08a5063b835582808d35
f6908d68c002351e2a06f8d913d6fa48	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned_Sphingomonas	f6908d68c002351e2a06f8d913d6fa48
b0e2fca058406c6de2c50382dceb12a7	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Unassigned_Veillonella	b0e2fca058406c6de2c50382dceb12a7
47674dde0fed473ff1d75ea5f99e48bf	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	Unassigned_Cohnella	47674dde0fed473ff1d75ea5f99e48bf
393059c43b825a0455bf2e027450c438	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	Unassigned_Anaerococcus	393059c43b825a0455bf2e027450c438
3c9057cbefe67d3222acc78a077306a9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	Unassigned_Curvibacter	3c9057cbefe67d3222acc78a077306a9
